,years,LandAverageTemperature,LandAverageTemperatureUncertainty,Uncertainity_Top,Uncertainity_Bottom
0,1750,8.719363636,2.637818182,11.35718182,6.081545455
1,1751,7.976142857,2.781142857,10.75728571,5.195
2,1752,5.779833333,2.977,8.756833333,2.802833333
3,1753,8.388083333,3.176,11.56408333,5.212083333
4,1754,8.469333333,3.49425,11.96358333,4.975083333
5,1755,8.355583333,3.850333333,12.20591667,4.50525
6,1756,8.849583333,3.262333333,12.11191667,5.58725
7,1757,9.022,4.026,13.048,4.996
8,1758,6.743583333,3.362916667,10.1065,3.380666667
9,1759,7.985083333,3.678916667,11.664,4.306166667
10,1760,7.185166667,3.088916667,10.27408333,4.09625
11,1761,8.7725,3.144833333,11.91733333,5.627666667
12,1762,8.6065,3.52425,12.13075,5.08225
13,1763,7.49675,3.151583333,10.64833333,4.345166667
14,1764,8.400333333,2.77525,11.17558333,5.625083333
15,1765,8.251916667,2.42775,10.67966667,5.824166667
16,1766,8.405666667,2.835833333,11.2415,5.569833333
17,1767,8.2215,2.962666667,11.18416667,5.258833333
18,1768,6.781333333,2.266,9.047333333,4.515333333
19,1769,7.694583333,2.410083333,10.10466667,5.2845
20,1770,7.691916667,2.780666667,10.47258333,4.91125
21,1771,7.853166667,2.604583333,10.45775,5.248583333
22,1772,8.1935,2.463833333,10.65733333,5.729666667
23,1773,8.2215,2.36075,10.58225,5.86075
24,1774,8.772166667,3.415166667,12.18733333,5.357
25,1775,9.183083333,2.320583333,11.50366667,6.8625
26,1776,8.304,2.864166667,11.16816667,5.439833333
27,1777,8.25625,2.442833333,10.69908333,5.813416667
28,1778,8.54225,2.8725,11.41475,5.66975
29,1779,8.98325,2.505833333,11.48908333,6.477416667
30,1780,9.432916667,2.584833333,12.01775,6.848083333
31,1781,8.102583333,2.503833333,10.60641667,5.59875
32,1782,7.90125,2.550583333,10.45183333,5.350666667
33,1783,7.680833333,2.494416667,10.17525,5.186416667
34,1784,7.862,2.255666667,10.11766667,5.606333333
35,1785,7.363,2.2395,9.6025,5.1235
36,1786,8.258166667,2.525416667,10.78358333,5.73275
37,1787,8.031833333,2.36175,10.39358333,5.670083333
38,1788,8.447166667,2.557833333,11.005,5.889333333
39,1789,8.334166667,1.868666667,10.20283333,6.4655
40,1790,7.982333333,1.771666667,9.754,6.210666667
41,1791,8.23425,1.78375,10.018,6.4505
42,1792,8.089,1.700416667,9.789416667,6.388583333
43,1793,8.229166667,2.274416667,10.50358333,5.95475
44,1794,8.526,1.979,10.505,6.547
45,1795,8.350333333,2.043333333,10.39366667,6.307
46,1796,8.271,1.920666667,10.19166667,6.350333333
47,1797,8.510583333,2.045666667,10.55625,6.464916667
48,1798,8.67025,1.903333333,10.57358333,6.766916667
49,1799,8.50575,1.738416667,10.24416667,6.767333333
50,1800,8.48425,1.718666667,10.20291667,6.765583333
51,1801,8.589666667,1.581666667,10.17133333,7.008
52,1802,8.578166667,1.849,10.42716667,6.729166667
53,1803,8.503,1.633166667,10.13616667,6.869833333
54,1804,8.844833333,1.841833333,10.68666667,7.003
55,1805,8.56275,1.688916667,10.25166667,6.873833333
56,1806,8.434083333,1.570083333,10.00416667,6.864
57,1807,8.281416667,1.59225,9.873666667,6.689166667
58,1808,7.626833333,1.996833333,9.623666667,5.63
59,1809,7.076416667,2.135416667,9.211833333,4.941
60,1810,6.922666667,2.311,9.233666667,4.611666667
61,1811,6.8595,2.09575,8.95525,4.76375
62,1812,7.04625,2.135583333,9.181833333,4.910666667
63,1813,7.739916667,1.708833333,9.44875,6.031083333
64,1814,7.59175,2.1685,9.76025,5.42325
65,1815,7.239333333,1.9665,9.205833333,5.272833333
66,1816,6.9375,2.192916667,9.130416667,4.744583333
67,1817,6.975666667,1.708333333,8.684,5.267333333
68,1818,7.828916667,1.829083333,9.658,5.999833333
69,1819,7.369166667,1.581916667,8.951083333,5.78725
70,1820,7.61625,1.61875,9.235,5.9975
71,1821,8.090083333,1.375833333,9.465916667,6.71425
72,1822,8.188333333,1.37525,9.563583333,6.813083333
73,1823,7.718666667,1.36225,9.080916667,6.356416667
74,1824,8.547166667,1.447833333,9.995,7.099333333
75,1825,8.389333333,1.507833333,9.897166667,6.8815
76,1826,8.356583333,1.559583333,9.916166667,6.797
77,1827,8.80875,1.443583333,10.25233333,7.365166667
78,1828,8.165333333,1.648416667,9.81375,6.516916667
79,1829,7.941833333,1.31975,9.261583333,6.622083333
80,1830,8.51675,1.431416667,9.948166667,7.085333333
81,1831,7.639166667,1.5315,9.170666667,6.107666667
82,1832,7.450166667,1.540416667,8.990583333,5.90975
83,1833,8.013,1.2335,9.2465,6.7795
84,1834,8.14675,1.15225,9.299,6.9945
85,1835,7.3925,1.275333333,8.667833333,6.117166667
86,1836,7.695833333,1.169416667,8.86525,6.526416667
87,1837,7.375666667,1.290916667,8.666583333,6.08475
88,1838,7.514916667,1.162333333,8.67725,6.352583333
89,1839,7.63225,1.179416667,8.811666667,6.452833333
90,1840,7.79625,0.991166667,8.787416667,6.805083333
91,1841,7.688166667,0.952,8.640166667,6.736166667
92,1842,8.02275,0.8975,8.92025,7.12525
93,1843,8.173666667,0.749833333,8.9235,7.423833333
94,1844,7.646333333,0.926,8.572333333,6.720333333
95,1845,7.851166667,0.8815,8.732666667,6.969666667
96,1846,8.55275,1.05175,9.6045,7.501
97,1847,8.086,0.900666667,8.986666667,7.185333333
98,1848,7.9795,0.871333333,8.850833333,7.108166667
99,1849,7.984416667,0.913583333,8.898,7.070833333
100,1850,7.900666667,0.876416667,8.777083333,7.02425
101,1851,8.178583333,0.881916667,9.0605,7.296666667
102,1852,8.100166667,0.91825,9.018416667,7.181916667
103,1853,8.041833333,0.835,8.876833333,7.206833333
104,1854,8.2105,0.825666667,9.036166667,7.384833333
105,1855,8.11075,0.887166667,8.997916667,7.223583333
106,1856,7.995916667,0.76075,8.756666667,7.235166667
107,1857,7.758166667,0.751083333,8.50925,7.007083333
108,1858,8.10025,0.69975,8.8,7.4005
109,1859,8.252,0.674666667,8.926666667,7.577333333
110,1860,7.960833333,0.626,8.586833333,7.334833333
111,1861,7.8465,0.653416667,8.499916667,7.193083333
112,1862,7.558583333,0.688916667,8.2475,6.869666667
113,1863,8.111833333,0.748,8.859833333,7.363833333
114,1864,7.983583333,0.676416667,8.66,7.307166667
115,1865,8.177833333,0.662166667,8.84,7.515666667
116,1866,8.292166667,0.606,8.898166667,7.686166667
117,1867,8.436333333,0.634833333,9.071166667,7.8015
