Location,Date,Temperature,Humidity,Precipitation,Wind Speed,Weather Forecast
Maharashtra,2023-08-01,33.3,98,46.7,9.8,Cloudy
Manipur,2013-05-01,22.0,95,154.0,0.1,Rainy
Jharkhand,1995-02-01,25.6,35,10.1,1.7,Foggy
Rajasthan,2013-12-01,33.8,93,267.9,3.5,Foggy
Haryana,1998-07-01,34.1,84,208.1,2.1,Cloudy
Assam,1993-08-01,20.3,71,26.4,11.5,Stormy
Bihar,1988-12-01,31.6,71,295.5,13.4,Foggy
Himachal Pradesh,2014-11-01,17.2,93,248.5,14.1,Sunny
Rajasthan,1995-10-01,15.5,44,23.7,5.4,Sunny
Arunachal Pradesh,2017-08-01,25.1,75,217.4,3.3,Stormy
Chhattisgarh,2011-10-01,19.2,25,81.8,14.8,Sunny
Sikkim,2001-03-01,31.0,31,106.2,11.8,Foggy
Uttarakhand,2004-06-01,17.0,62,76.3,13.4,Cloudy
Uttarakhand,2022-02-01,31.3,72,217.4,14.6,Sunny
Madhya Pradesh,2015-08-01,13.6,85,44.9,14.2,Rainy
Odisha,2007-03-01,10.4,79,169.7,4.3,Sunny
Odisha,2021-12-01,17.7,83,58.2,1.3,Rainy
Arunachal Pradesh,2001-08-01,26.2,23,32.9,8.0,Rainy
Nagaland,1998-01-01,19.6,26,97.4,1.7,Stormy
Assam,2019-06-01,38.6,34,128.8,5.9,Stormy
Haryana,1985-06-01,15.1,66,205.2,12.2,Stormy
Nagaland,2024-02-01,38.7,22,48.7,1.9,Rainy
Kerala,2022-03-01,33.4,24,3.6,0.2,Stormy
Telangana,2000-04-01,10.2,49,229.5,9.6,Sunny
Maharashtra,1996-06-01,21.0,36,40.4,11.0,Stormy
Nagaland,1997-10-01,15.4,43,141.8,12.5,Cloudy
West Bengal,2017-09-01,31.7,71,53.4,10.4,Cloudy
Rajasthan,2022-01-01,14.8,42,32.3,6.3,Foggy
Assam,1989-09-01,31.3,23,119.3,1.3,Cloudy
Bihar,2024-01-01,23.1,47,241.5,7.5,Stormy
Madhya Pradesh,2015-03-01,26.4,77,48.3,5.8,Rainy
Arunachal Pradesh,1994-12-01,11.2,89,80.1,14.7,Stormy
Karnataka,2000-11-01,27.5,46,61.5,1.9,Sunny
Haryana,1989-10-01,20.5,97,73.3,8.4,Rainy
Mizoram,1997-07-01,20.6,81,282.8,10.8,Cloudy
Chhattisgarh,1992-03-01,31.5,35,249.7,10.8,Cloudy
Himachal Pradesh,1992-09-01,12.6,63,104.1,9.6,Foggy
West Bengal,1991-09-01,24.9,53,158.5,1.6,Cloudy
Meghalaya,2011-02-01,29.0,20,267.5,5.5,Sunny
Bihar,2007-01-01,21.5,73,269.9,8.6,Sunny
Chhattisgarh,2017-07-01,10.4,86,34.2,6.8,Rainy
Meghalaya,1996-03-01,23.6,44,93.8,4.3,Foggy
Mizoram,2020-11-01,29.9,49,166.3,11.8,Foggy
Manipur,2003-06-01,28.3,55,279.3,4.4,Stormy
Nagaland,1996-03-01,36.6,22,4.8,9.8,Rainy
West Bengal,2020-05-01,27.9,76,121.4,2.5,Rainy
Mizoram,1989-05-01,26.6,90,88.9,1.6,Foggy
Odisha,1995-01-01,35.8,92,225.5,6.2,Rainy
Andhra Pradesh,1996-01-01,17.9,21,215.0,2.5,Stormy
Arunachal Pradesh,1999-11-01,28.0,25,177.5,14.0,Cloudy
Andhra Pradesh,2007-06-01,34.5,69,30.6,12.6,Rainy
Nagaland,1994-08-01,36.1,49,133.6,1.3,Cloudy
Maharashtra,1996-09-01,17.5,85,130.3,13.1,Foggy
West Bengal,2000-10-01,12.1,63,184.9,2.2,Rainy
Himachal Pradesh,2009-08-01,23.6,64,65.6,4.9,Stormy
Karnataka,1987-07-01,13.3,43,127.6,6.9,Sunny
Andhra Pradesh,1998-01-01,26.4,86,163.3,11.6,Foggy
Kerala,2005-11-01,28.7,21,117.8,15.0,Foggy
Madhya Pradesh,1999-08-01,13.3,41,92.9,8.7,Rainy
Bihar,2005-10-01,25.8,24,22.6,10.8,Cloudy
Haryana,1991-08-01,19.9,94,72.8,8.9,Sunny
Tripura,1993-08-01,30.2,24,162.1,9.7,Sunny
Maharashtra,2006-05-01,11.6,43,291.7,12.0,Rainy
Chhattisgarh,2006-07-01,21.6,28,16.3,1.9,Foggy
Meghalaya,1989-07-01,35.5,91,93.6,13.1,Cloudy
Himachal Pradesh,1994-11-01,31.2,53,129.2,3.0,Stormy
Tripura,1990-07-01,16.7,95,59.8,1.2,Foggy
Manipur,2010-01-01,30.5,49,241.3,5.6,Rainy
Meghalaya,1991-05-01,10.6,51,206.9,3.5,Stormy
Himachal Pradesh,1998-10-01,14.2,75,77.9,5.2,Sunny
Jharkhand,2000-03-01,23.8,36,76.2,3.9,Rainy
Nagaland,2007-06-01,21.8,29,2.6,14.6,Rainy
Maharashtra,2019-10-01,23.5,66,170.0,7.9,Foggy
Bihar,2010-02-01,36.9,67,9.0,13.0,Stormy
Andhra Pradesh,1999-11-01,11.2,42,128.1,9.6,Stormy
Jharkhand,2005-03-01,12.6,44,287.6,10.8,Sunny
Mizoram,2006-10-01,19.9,83,121.3,2.2,Foggy
Assam,1996-07-01,28.3,95,232.1,10.6,Stormy
Karnataka,2000-10-01,27.8,59,43.9,7.8,Foggy
Tripura,2020-03-01,20.2,68,64.2,3.8,Stormy
Assam,2018-03-01,32.1,70,203.9,11.9,Foggy
Maharashtra,2022-05-01,16.9,96,88.2,3.7,Foggy
Punjab,1999-05-01,11.5,81,37.4,8.5,Foggy
Andhra Pradesh,2014-11-01,13.3,65,79.9,0.1,Cloudy
Uttar Pradesh,1994-09-01,12.4,49,87.6,12.2,Cloudy
Tripura,1990-02-01,24.5,26,16.2,8.6,Stormy
